Name	Eads	Site_Type	Ag	Au	Cu	Ir	Pd	Pt	Rh	Ru	AWF	AEL	AELA	TotEl	AValEl	Avg_Mass	Avg_Adsorption_111	Avg_Adsorption_100	Avg_Charge	ADBND	ACN	CN1	CN2	CN3	CN4
14_43_69	-2.55481	2	0	1	0	0	0	0	0	1	4.905	2.37	1.68	9	4.5	149.02	-0.85	-1	0.03739	-3.426074	6.5	8	5	0	0
14_69_71	-2.75049	3	0	0	0	1	0	0	0	2	5.03	2.2	1.22	25	8.333	131.453	-1.267	-1.467	-0.108743	-3.494744	9.333	10	8	10	0
15_42_73	-2.09898	3	0	1	0	0	1	0	0	1	5.01	2.313	1.307	19	6.333	134.82	-0.867	-1.033	0.061309	-3.233368	5.667	4	4	9	0
16_17_46	-1.09349	2	0	1	0	0	1	0	0	0	5.16	2.37	1.435	11	5.5	151.695	-0.65	-0.8	0.098925	-2.881227	5.5	5	6	0	0
16_17_52	-1.67469	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.171088	-3.213759	6	6	0	0	0
17_46_65	-2.04675	3	1	0	0	0	1	0	1	0	4.82	2.137	1	20	6.667	105.733	-0.733	-0.9	-0.044652	-2.885753	7	8	6	7	0
17_65_66	-2.45402	3	0	0	0	0	0	1	2	0	5.297	2.28	1.47	28	9.333	133.633	-1.067	-1.267	0.014203	-2.897239	8.333	8	9	8	0
18_28_37	-2.19821	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.075495	-3.572942	7	7	0	0	0
18_37_40	-2.02121	2	0	0	0	1	1	0	0	0	5.445	2.2	1.06	19	9.5	149.32	-1.05	-1.25	0.018953	-2.979062	7	5	9	0	0
18_40_53	-1.6704	2	0	0	0	0	1	1	0	0	5.575	2.24	1.345	20	10	150.75	-0.95	-1.15	0.136666	-2.819056	8	6	10	0	0
19_28_37	-2.20469	1	0	0	0	1	0	0	0	0	5.67	2.2	1.56	9	9	192.22	-1.2	-1.4	0.075495	-3.572942	7	7	0	0	0
19_28_64	-1.80238	2	0	0	1	0	0	0	1	0	4.815	2.09	1.19	10	5	83.23	-0.8	-0.95	-0.091852	-2.717264	6.5	8	5	0	0
1_21_49	-2.29366	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.358206	-2.934335	6	6	0	0	0
20_21_49_50	-1.89364	3	0	0	1	0	0	2	0	0	5.503	2.153	1.833	21	7	151.237	-0.833	-1	0.148681	-2.996681	5.667	7	6	4	0
20_29_49	-2.42224	3	0	0	1	1	0	1	0	0	5.417	2.127	1.643	20	6.667	150.283	-0.9	-1.067	0.081768	-2.987436	7	8	7	6	0
20_29_69	-2.56386	3	0	0	1	1	0	0	0	1	5.01	2.1	1.283	18	6	118.947	-1	-1.167	-0.117708	-3.21151	8	9	8	7	0
20_49_50	-1.66739	3	0	0	1	0	0	2	0	0	5.503	2.153	1.833	21	7	151.237	-0.833	-1	0.139652	-3.044976	7.333	7	9	6	0
20_50_70	-2.16081	3	0	0	1	0	0	1	0	1	5.097	2.127	1.473	19	6.333	119.9	-0.933	-1.1	-0.07045	-3.351367	8.333	8	6	11	0
21_23_50	-1.87675	1	0	0	0	0	0	1	0	0	5.93	2.28	2.13	10	10	195.08	-1	-1.2	0.322295	-3.657451	7	7	0	0	0
21_49_50	-1.88512	2	0	0	0	0	0	2	0	0	5.93	2.28	2.13	20	10	195.08	-1	-1.2	0.340251	-3.295893	7	8	6	0	0
22_59_61	-2.25565	3	0	0	0	1	0	0	2	0	5.21	2.253	1.28	27	9	132.68	-1.133	-1.333	0.033688	-3.226398	8	9	7	8	0
23_24_25	-1.2838	3	0	0	3	0	0	0	0	0	4.65	1.9	1.24	3	1	63.55	-0.5	-0.6	-0.218808	-2.591887	8	9	7	8	0
24_25_53	-1.54544	3	0	0	2	0	0	1	0	0	5.077	2.027	1.537	12	4	107.393	-0.667	-0.8	-0.050034	-2.814209	9	9	10	8	0
24_39_41	-1.63867	3	0	0	1	0	2	0	0	0	5.03	2.1	0.787	21	7	92.13	-0.767	-0.933	-0.061976	-2.710502	7.667	7	8	8	0
24_41_53	-1.78131	3	0	0	1	0	1	1	0	0	5.267	2.127	1.31	21	7	121.683	-0.8	-0.967	0.046768	-2.800101	8.333	9	8	8	0
25_40_53	-1.78092	3	0	0	1	0	1	1	0	0	5.267	2.127	1.31	21	7	121.683	-0.8	-0.967	0.003785	-2.73072	8.333	9	6	10	0
26_42_48	-1.17119	3	0	0	1	0	2	0	0	0	5.03	2.1	0.787	21	7	92.13	-0.767	-0.933	-0.00705	-2.491545	6	9	4	5	0
26_47_68	-2.38255	3	0	0	1	0	1	0	1	0	4.95	2.127	0.98	20	6.667	90.96	-0.833	-1	-0.03723	-2.484449	7.667	6	10	7	0
26_48_68	-1.85387	3	0	0	1	0	1	0	1	0	4.95	2.127	0.98	20	6.667	90.96	-0.833	-1	-0.050114	-2.49914	7.333	6	11	5	0
29_69_71	-2.75494	3	0	0	0	1	0	0	0	2	5.03	2.2	1.22	25	8.333	131.453	-1.267	-1.467	-0.108743	-3.494744	9.333	8	10	10	0
